ticketid,content,filepath
13759,We'll prioritize your issue and update you accordingly.,
5356,"We're actively addressing your concern, standby for updates.",
5379,We're aware of the situation and taking action.,
5407,We're reviewing your ticket and will respond shortly.,
5442,We've escalated your ticket for urgent attention.,
5468,"Your request has been received, we're working on it.",
5542,We'll investigate and provide a solution as soon as possible.,
5613,"Thanks for bringing this to our attention, we'll handle it promptly.",
5666,"Your query is in our queue, we'll attend to it shortly.",
5786,We'll keep you posted on the progress of your ticket.,
5904,"Rest assured, we're committed to resolving your issue efficiently.",
6026,We appreciate your patience as we address this issue.,
6155,We appreciate your patience as we address this issue.,
6189,"Understood, we'll investigate.",
6192,"Noted, we're working to resolve this.",
6242,We've received your ticket and will handle it accordingly.,
6357,"Thanks for reaching out, we'll handle this internally.",
6362,"Your concern has been logged, we'll keep you informed.",
6426,We'll prioritize your issue and update you accordingly.,
6506,"We're actively addressing your concern, standby for updates.",
6519,We're aware of the situation and taking action.,
6614,We're reviewing your ticket and will respond shortly.,
6649,We've escalated your ticket for urgent attention.,
6675,"Your request has been received, we're working on it.",
7067,We'll investigate and provide a solution as soon as possible.,
7129,"Thanks for bringing this to our attention, we'll handle it promptly.",
7151,"Your query is in our queue, we'll attend to it shortly.",
7155,We'll keep you posted on the progress of your ticket.,
7212,"Rest assured, we're committed to resolving your issue efficiently.",
7295,We appreciate your patience as we address this issue.,
7304,We appreciate your patience as we address this issue.,
7474,"Understood, we'll investigate.",
7668,"Noted, we're working to resolve this.",
7689,We've received your ticket and will handle it accordingly.,
7799,"Thanks for reaching out, we'll handle this internally.",
7801,"Your concern has been logged, we'll keep you informed.",
7814,We'll prioritize your issue and update you accordingly.,
7961,"We're actively addressing your concern, standby for updates.",
7976,We're aware of the situation and taking action.,
8364,We're reviewing your ticket and will respond shortly.,
8374,We've escalated your ticket for urgent attention.,
8381,"Your request has been received, we're working on it.",
8425,We'll investigate and provide a solution as soon as possible.,
8434,"Thanks for bringing this to our attention, we'll handle it promptly.",
8489,"Your query is in our queue, we'll attend to it shortly.",
8490,We'll keep you posted on the progress of your ticket.,
8546,"Rest assured, we're committed to resolving your issue efficiently.",
8597,We appreciate your patience as we address this issue.,
8722,We appreciate your patience as we address this issue.,
8890,"Understood, we'll investigate.",
8972,"Noted, we're working to resolve this.",
9017,We've received your ticket and will handle it accordingly.,
9048,"Thanks for reaching out, we'll handle this internally.",
9147,"Your concern has been logged, we'll keep you informed.",
9198,We'll prioritize your issue and update you accordingly.,
9250,"We're actively addressing your concern, standby for updates.",
9300,We're aware of the situation and taking action.,
9461,We're reviewing your ticket and will respond shortly.,
9495,We've escalated your ticket for urgent attention.,
12875,"Your request has been received, we're working on it.",
12885,We'll investigate and provide a solution as soon as possible.,
12899,"Thanks for bringing this to our attention, we'll handle it promptly.",
12952,"Your query is in our queue, we'll attend to it shortly.",
12977,We'll keep you posted on the progress of your ticket.,
13056,"Rest assured, we're committed to resolving your issue efficiently.",
13100,We appreciate your patience as we address this issue.,
13177,We appreciate your patience as we address this issue.,
13236,"Understood, we'll investigate.",
5092,"Noted, we're working to resolve this.",
5127,We've received your ticket and will handle it accordingly.,
5218,"Thanks for reaching out, we'll handle this internally.",
5357,"Your concern has been logged, we'll keep you informed.",
5373,We'll prioritize your issue and update you accordingly.,
5406,"We're actively addressing your concern, standby for updates.",
5453,We're aware of the situation and taking action.,
5469,We're reviewing your ticket and will respond shortly.,
5532,We've escalated your ticket for urgent attention.,
5605,"Your request has been received, we're working on it.",
5702,We'll investigate and provide a solution as soon as possible.,
5737,"Thanks for bringing this to our attention, we'll handle it promptly.",
5835,"Your query is in our queue, we'll attend to it shortly.",
5923,We'll keep you posted on the progress of your ticket.,
6025,"Rest assured, we're committed to resolving your issue efficiently.",
6036,We appreciate your patience as we address this issue.,
6042,We appreciate your patience as we address this issue.,
6217,"Understood, we'll investigate.",
6256,"Noted, we're working to resolve this.",
6288,We've received your ticket and will handle it accordingly.,
6424,"Thanks for reaching out, we'll handle this internally.",
6524,"Your concern has been logged, we'll keep you informed.",
6611,We'll prioritize your issue and update you accordingly.,
6646,"We're actively addressing your concern, standby for updates.",
6707,We're aware of the situation and taking action.,
6815,We're reviewing your ticket and will respond shortly.,
6927,We've escalated your ticket for urgent attention.,
7178,"Your request has been received, we're working on it.",
7232,We'll investigate and provide a solution as soon as possible.,
7241,"Thanks for bringing this to our attention, we'll handle it promptly.",
7320,"Your query is in our queue, we'll attend to it shortly.",
7350,We'll keep you posted on the progress of your ticket.,
7383,"Rest assured, we're committed to resolving your issue efficiently.",
7473,We appreciate your patience as we address this issue.,
7507,We appreciate your patience as we address this issue.,
7549,"Understood, we'll investigate.",
7678,"Noted, we're working to resolve this.",
7746,We've received your ticket and will handle it accordingly.,
7884,"Thanks for reaching out, we'll handle this internally.",
7912,"Your concern has been logged, we'll keep you informed.",
7986,We'll prioritize your issue and update you accordingly.,
8119,"We're actively addressing your concern, standby for updates.",
8206,We're aware of the situation and taking action.,
8298,We're reviewing your ticket and will respond shortly.,
8307,We've escalated your ticket for urgent attention.,
8314,"Your request has been received, we're working on it.",
8475,We'll investigate and provide a solution as soon as possible.,
8524,"Thanks for bringing this to our attention, we'll handle it promptly.",
8532,"Your query is in our queue, we'll attend to it shortly.",
8554,We'll keep you posted on the progress of your ticket.,
8779,"Rest assured, we're committed to resolving your issue efficiently.",
8797,We appreciate your patience as we address this issue.,
9021,We appreciate your patience as we address this issue.,
9193,"Understood, we'll investigate.",
9246,"Noted, we're working to resolve this.",
9251,We've received your ticket and will handle it accordingly.,
9386,"Thanks for reaching out, we'll handle this internally.",
9420,"Your concern has been logged, we'll keep you informed.",
9434,We'll prioritize your issue and update you accordingly.,
9472,"We're actively addressing your concern, standby for updates.",
9475,We're aware of the situation and taking action.,
9878,We're reviewing your ticket and will respond shortly.,
9982,We've escalated your ticket for urgent attention.,
10074,"Your request has been received, we're working on it.",
10115,We'll investigate and provide a solution as soon as possible.,
10263,"Thanks for bringing this to our attention, we'll handle it promptly.",
10349,"Your query is in our queue, we'll attend to it shortly.",
10376,We'll keep you posted on the progress of your ticket.,
10666,"Rest assured, we're committed to resolving your issue efficiently.",
10738,We appreciate your patience as we address this issue.,
10739,We appreciate your patience as we address this issue.,
10814,"Understood, we'll investigate.",
11012,"Noted, we're working to resolve this.",
11161,We've received your ticket and will handle it accordingly.,
11271,"Thanks for reaching out, we'll handle this internally.",
11302,"Your concern has been logged, we'll keep you informed.",
11373,We'll prioritize your issue and update you accordingly.,
11580,"We're actively addressing your concern, standby for updates.",
11734,We're aware of the situation and taking action.,
11741,We're reviewing your ticket and will respond shortly.,
11869,We've escalated your ticket for urgent attention.,
11959,"Your request has been received, we're working on it.",
12030,We'll investigate and provide a solution as soon as possible.,
12063,"Thanks for bringing this to our attention, we'll handle it promptly.",
12285,"Your query is in our queue, we'll attend to it shortly.",
12442,We'll keep you posted on the progress of your ticket.,
12623,"Rest assured, we're committed to resolving your issue efficiently.",
12628,We appreciate your patience as we address this issue.,
12758,We appreciate your patience as we address this issue.,
12811,"Understood, we'll investigate.",
12835,"Noted, we're working to resolve this.",
12874,We appreciate your patience as we address this issue.,
12890,"Understood, we'll investigate.",
12897,"Noted, we're working to resolve this.",
12937,We've received your ticket and will handle it accordingly.,
12991,"Thanks for reaching out, we'll handle this internally.",
13024,"Your concern has been logged, we'll keep you informed.",
13090,We'll prioritize your issue and update you accordingly.,
13158,"We're actively addressing your concern, standby for updates.",
13214,We're aware of the situation and taking action.,
13280,We're reviewing your ticket and will respond shortly.,
13393,We've escalated your ticket for urgent attention.,
13737,"Your request has been received, we're working on it.",
13747,We'll investigate and provide a solution as soon as possible.,
5006,"Thanks for bringing this to our attention, we'll handle it promptly.",
5245,"Your query is in our queue, we'll attend to it shortly.",
5273,We'll keep you posted on the progress of your ticket.,
5274,"Rest assured, we're committed to resolving your issue efficiently.",
5303,We appreciate your patience as we address this issue.,
5362,We appreciate your patience as we address this issue.,
5369,"Understood, we'll investigate.",
5397,"Noted, we're working to resolve this.",
5445,We've received your ticket and will handle it accordingly.,
5497,"Thanks for reaching out, we'll handle this internally.",
5549,"Your concern has been logged, we'll keep you informed.",
5625,We'll prioritize your issue and update you accordingly.,
5680,"We're actively addressing your concern, standby for updates.",
5728,We're aware of the situation and taking action.,
5830,We're reviewing your ticket and will respond shortly.,
5921,We've escalated your ticket for urgent attention.,
5992,"Your request has been received, we're working on it.",
6080,We'll investigate and provide a solution as soon as possible.,
6188,"Thanks for bringing this to our attention, we'll handle it promptly.",
6317,"Your query is in our queue, we'll attend to it shortly.",
6347,We'll keep you posted on the progress of your ticket.,
6458,"Rest assured, we're committed to resolving your issue efficiently.",
6500,We appreciate your patience as we address this issue.,
6507,We appreciate your patience as we address this issue.,
6539,"Understood, we'll investigate.",
6581,"Noted, we're working to resolve this.",
6689,We've received your ticket and will handle it accordingly.,
6808,"Thanks for reaching out, we'll handle this internally.",
7154,"Your concern has been logged, we'll keep you informed.",
7166,We'll prioritize your issue and update you accordingly.,
7181,"We're actively addressing your concern, standby for updates.",
7190,We're aware of the situation and taking action.,
7203,We're reviewing your ticket and will respond shortly.,
7246,We've escalated your ticket for urgent attention.,
7392,"Your request has been received, we're working on it.",
7425,We'll investigate and provide a solution as soon as possible.,
7503,"Thanks for bringing this to our attention, we'll handle it promptly.",
7535,"Your query is in our queue, we'll attend to it shortly.",
7566,We'll keep you posted on the progress of your ticket.,
7586,"Rest assured, we're committed to resolving your issue efficiently.",
7622,We appreciate your patience as we address this issue.,
7856,We appreciate your patience as we address this issue.,
7898,"Understood, we'll investigate.",
8089,"Noted, we're working to resolve this.",
8101,We've received your ticket and will handle it accordingly.,
8247,"Thanks for reaching out, we'll handle this internally.",
8352,"Your concern has been logged, we'll keep you informed.",
8461,We'll prioritize your issue and update you accordingly.,
8593,"We're actively addressing your concern, standby for updates.",
8595,We're aware of the situation and taking action.,
8631,We're reviewing your ticket and will respond shortly.,
8680,We've escalated your ticket for urgent attention.,
8782,"Your request has been received, we're working on it.",
8805,We'll investigate and provide a solution as soon as possible.,
8892,"Thanks for bringing this to our attention, we'll handle it promptly.",
9005,"Your query is in our queue, we'll attend to it shortly.",
9154,We'll keep you posted on the progress of your ticket.,
9203,"Rest assured, we're committed to resolving your issue efficiently.",
9266,We appreciate your patience as we address this issue.,
9288,We appreciate your patience as we address this issue.,
9350,"Understood, we'll investigate.",
9357,"Noted, we're working to resolve this.",
9394,We've received your ticket and will handle it accordingly.,
9871,"Thanks for reaching out, we'll handle this internally.",
9966,"Your concern has been logged, we'll keep you informed.",
10009,We'll prioritize your issue and update you accordingly.,
10161,"We're actively addressing your concern, standby for updates.",
10224,We're aware of the situation and taking action.,
10378,We're reviewing your ticket and will respond shortly.,
10453,We've escalated your ticket for urgent attention.,
10722,"Your request has been received, we're working on it.",
10742,We'll investigate and provide a solution as soon as possible.,
10743,"Thanks for bringing this to our attention, we'll handle it promptly.",
10872,"Your query is in our queue, we'll attend to it shortly.",
10969,We'll keep you posted on the progress of your ticket.,
11261,"Rest assured, we're committed to resolving your issue efficiently.",
11352,We appreciate your patience as we address this issue.,
11365,We appreciate your patience as we address this issue.,
11458,"Understood, we'll investigate.",
11541,"Noted, we're working to resolve this.",
11617,We've received your ticket and will handle it accordingly.,
11714,"Thanks for reaching out, we'll handle this internally.",
11760,"Your concern has been logged, we'll keep you informed.",
11814,We'll prioritize your issue and update you accordingly.,
11994,"We're actively addressing your concern, standby for updates.",
12277,We're aware of the situation and taking action.,
12344,We're reviewing your ticket and will respond shortly.,
12432,We've escalated your ticket for urgent attention.,
12521,"Your request has been received, we're working on it.",
12549,We'll investigate and provide a solution as soon as possible.,
12871,"Thanks for bringing this to our attention, we'll handle it promptly.",
12881,"Your query is in our queue, we'll attend to it shortly.",
12917,We'll keep you posted on the progress of your ticket.,
12950,"Rest assured, we're committed to resolving your issue efficiently.",
12999,We appreciate your patience as we address this issue.,
13060,We appreciate your patience as we address this issue.,
13131,"Understood, we'll investigate.",
13134,"Noted, we're working to resolve this.",
13205,We've received your ticket and will handle it accordingly.,
13302,"Thanks for reaching out, we'll handle this internally.",
13404,"Your concern has been logged, we'll keep you informed.",
13721,We'll prioritize your issue and update you accordingly.,
13780,"We're actively addressing your concern, standby for updates.",
13835,We're aware of the situation and taking action.,
5264,We're reviewing your ticket and will respond shortly.,
5361,We've escalated your ticket for urgent attention.,
5385,"Your request has been received, we're working on it.",
5413,We'll investigate and provide a solution as soon as possible.,
5455,"Thanks for bringing this to our attention, we'll handle it promptly.",
5500,"Your query is in our queue, we'll attend to it shortly.",
5539,We'll keep you posted on the progress of your ticket.,
5633,"Rest assured, we're committed to resolving your issue efficiently.",
5696,We appreciate your patience as we address this issue.,
5722,We appreciate your patience as we address this issue.,
5834,"Understood, we'll investigate.",
5924,"Noted, we're working to resolve this.",
5934,We've received your ticket and will handle it accordingly.,
6069,"Thanks for reaching out, we'll handle this internally.",
6115,"Your concern has been logged, we'll keep you informed.",
6286,We'll prioritize your issue and update you accordingly.,
6287,"We're actively addressing your concern, standby for updates.",
6296,We're aware of the situation and taking action.,
6326,We're reviewing your ticket and will respond shortly.,
6617,We've escalated your ticket for urgent attention.,
6628,"Your request has been received, we're working on it.",
6722,We'll investigate and provide a solution as soon as possible.,
6767,"Thanks for bringing this to our attention, we'll handle it promptly.",
6856,"Your query is in our queue, we'll attend to it shortly.",
6921,We'll keep you posted on the progress of your ticket.,
7037,"Rest assured, we're committed to resolving your issue efficiently.",
7039,We appreciate your patience as we address this issue.,
7065,"We're actively addressing your concern, standby for updates.",
7073,We're aware of the situation and taking action.,
7153,We're reviewing your ticket and will respond shortly.,
7293,We've escalated your ticket for urgent attention.,
7478,"Your request has been received, we're working on it.",
7664,We'll investigate and provide a solution as soon as possible.,
7666,"Thanks for bringing this to our attention, we'll handle it promptly.",
7775,"Your query is in our queue, we'll attend to it shortly.",
7811,We'll keep you posted on the progress of your ticket.,
7825,"Rest assured, we're committed to resolving your issue efficiently.",
7845,We appreciate your patience as we address this issue.,
7881,We appreciate your patience as we address this issue.,
8088,"Understood, we'll investigate.",
8133,"Noted, we're working to resolve this.",
8137,We've received your ticket and will handle it accordingly.,
8228,"Thanks for reaching out, we'll handle this internally.",
8238,"Your concern has been logged, we'll keep you informed.",
8440,We'll prioritize your issue and update you accordingly.,
8525,"We're actively addressing your concern, standby for updates.",
8536,We're aware of the situation and taking action.,
8709,We're reviewing your ticket and will respond shortly.,
8822,We've escalated your ticket for urgent attention.,
8858,"Your request has been received, we're working on it.",
8925,We'll investigate and provide a solution as soon as possible.,
9011,"Thanks for bringing this to our attention, we'll handle it promptly.",
9040,"Your query is in our queue, we'll attend to it shortly.",
9131,We'll keep you posted on the progress of your ticket.,
9211,"Rest assured, we're committed to resolving your issue efficiently.",
9329,We appreciate your patience as we address this issue.,
9336,We appreciate your patience as we address this issue.,
9492,"Understood, we'll investigate.",
9501,"Noted, we're working to resolve this.",
10038,We've received your ticket and will handle it accordingly.,
10152,"Thanks for reaching out, we'll handle this internally.",
10247,"Your concern has been logged, we'll keep you informed.",
10377,We'll prioritize your issue and update you accordingly.,
10404,"We're actively addressing your concern, standby for updates.",
10419,We're aware of the situation and taking action.,
10730,We're reviewing your ticket and will respond shortly.,
10830,We've escalated your ticket for urgent attention.,
10848,"Your request has been received, we're working on it.",
10978,We'll investigate and provide a solution as soon as possible.,
11264,"Thanks for bringing this to our attention, we'll handle it promptly.",
11381,"Your query is in our queue, we'll attend to it shortly.",
11402,We'll keep you posted on the progress of your ticket.,
11545,"Rest assured, we're committed to resolving your issue efficiently.",
11613,We appreciate your patience as we address this issue.,
11894,We appreciate your patience as we address this issue.,
12173,"Understood, we'll investigate.",
12206,"Noted, we're working to resolve this.",
12271,We've received your ticket and will handle it accordingly.,
12353,"Thanks for reaching out, we'll handle this internally.",
12542,"Your concern has been logged, we'll keep you informed.",
12620,We'll prioritize your issue and update you accordingly.,
12822,"We're actively addressing your concern, standby for updates.",
12836,We're aware of the situation and taking action.,
12866,We're reviewing your ticket and will respond shortly.,
12888,We've escalated your ticket for urgent attention.,
12914,"Your request has been received, we're working on it.",
12931,We'll investigate and provide a solution as soon as possible.,
13008,"Thanks for bringing this to our attention, we'll handle it promptly.",
13052,"Your query is in our queue, we'll attend to it shortly.",
13102,We'll keep you posted on the progress of your ticket.,
13133,"Rest assured, we're committed to resolving your issue efficiently.",
13245,We appreciate your patience as we address this issue.,
13758,We appreciate your patience as we address this issue.,
13892,"Understood, we'll investigate.",
5011,"Noted, we're working to resolve this.",
5096,We've received your ticket and will handle it accordingly.,
5158,"Thanks for reaching out, we'll handle this internally.",
5307,"Your concern has been logged, we'll keep you informed.",
5365,We'll prioritize your issue and update you accordingly.,
5381,"We're actively addressing your concern, standby for updates.",
5405,We're aware of the situation and taking action.,
5428,We're reviewing your ticket and will respond shortly.,
5487,We've escalated your ticket for urgent attention.,
5543,"Your request has been received, we're working on it.",
5576,We'll investigate and provide a solution as soon as possible.,
5659,"Thanks for bringing this to our attention, we'll handle it promptly.",
5759,"Your query is in our queue, we'll attend to it shortly.",
5861,We'll keep you posted on the progress of your ticket.,
5940,"Rest assured, we're committed to resolving your issue efficiently.",
5977,We appreciate your patience as we address this issue.,
6096,We appreciate your patience as we address this issue.,
6140,"Understood, we'll investigate.",
6222,"Noted, we're working to resolve this.",
6248,We've received your ticket and will handle it accordingly.,
6320,"Thanks for reaching out, we'll handle this internally.",
6383,"Your concern has been logged, we'll keep you informed.",
6534,We'll prioritize your issue and update you accordingly.,
6603,"We're actively addressing your concern, standby for updates.",
6626,We're aware of the situation and taking action.,
6817,We're reviewing your ticket and will respond shortly.,
6883,We've escalated your ticket for urgent attention.,
6998,"Your request has been received, we're working on it.",
7043,We'll investigate and provide a solution as soon as possible.,
7109,"Thanks for bringing this to our attention, we'll handle it promptly.",
7260,"Your query is in our queue, we'll attend to it shortly.",
7276,We'll keep you posted on the progress of your ticket.,
7326,"Rest assured, we're committed to resolving your issue efficiently.",
